TABLE NO.  2
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -2.4729E-02  1.3244E-01 -1.7269E-01
 -1.9459E-02 -1.5523E-01  7.1839E-01
 -1.9459E-02 -1.5523E-01  7.1839E-01
 -1.9459E-02 -1.5523E-01  7.1839E-01
 -1.9459E-02 -1.5523E-01  7.1839E-01
 -1.9459E-02 -1.5523E-01  7.1839E-01
 -1.9459E-02 -1.5523E-01  7.1839E-01
 -1.9459E-02 -1.5523E-01  7.1839E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
  1.4448E-01 -2.1183E-01 -5.3217E-01
 -2.2486E-02  2.9993E-01  6.8110E-01
 -2.2486E-02  2.9993E-01  6.8110E-01
 -2.2486E-02  2.9993E-01  6.8110E-01
 -2.2486E-02  2.9993E-01  6.8110E-01
 -2.2486E-02  2.9993E-01  6.8110E-01
 -2.2486E-02  2.9993E-01  6.8110E-01
 -2.2486E-02  2.9993E-01  6.8110E-01
 -2.2486E-02  2.9993E-01  6.8110E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.7857E-02  3.5392E-01  5.3170E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -1.8431E-03 -6.3227E-03 -4.3631E-01
 -2.0901E-03 -1.7688E-01  7.4232E-01
 -2.0901E-03 -1.7688E-01  7.4232E-01
 -2.0901E-03 -1.7688E-01  7.4232E-01
 -2.0901E-03 -1.7688E-01  7.4232E-01
 -2.0901E-03 -1.7688E-01  7.4232E-01
 -2.0901E-03 -1.7688E-01  7.4232E-01
 -2.0901E-03 -1.7688E-01  7.4232E-01
 -2.0901E-03 -1.7688E-01  7.4232E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
 -3.8139E-03 -1.2327E-02  2.2857E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  8.5648E-03 -2.8442E-01  2.4294E-01
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
  7.6292E-03 -4.4013E-01  2.9733E-02
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
 -4.0615E-02  2.0448E-01 -2.8524E-01
  2.2948E-02  7.4121E-02  5.7714E-01
  2.2948E-02  7.4121E-02  5.7714E-01
  2.2948E-02  7.4121E-02  5.7714E-01
  2.2948E-02  7.4121E-02  5.7714E-01
  2.2948E-02  7.4121E-02  5.7714E-01
  2.2948E-02  7.4121E-02  5.7714E-01
  2.2948E-02  7.4121E-02  5.7714E-01
  2.2948E-02  7.4121E-02  5.7714E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
 -1.4809E-02  3.9493E-01 -3.7038E-01
  2.0061E-02 -1.5094E-01  6.6912E-01
  2.0061E-02 -1.5094E-01  6.6912E-01
  2.0061E-02 -1.5094E-01  6.6912E-01
  2.0061E-02 -1.5094E-01  6.6912E-01
  2.0061E-02 -1.5094E-01  6.6912E-01
  2.0061E-02 -1.5094E-01  6.6912E-01
  2.0061E-02 -1.5094E-01  6.6912E-01
  2.0061E-02 -1.5094E-01  6.6912E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
  4.5905E-02 -5.6177E-01  1.6241E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
 -1.9805E-02 -5.0923E-02 -3.3190E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  5.5343E-02 -4.6006E-01  2.1148E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  6.4719E-03  1.2325E-01 -4.0786E-01
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.2485E-02  2.4515E-01 -8.3104E-02
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.5087E-02 -1.1940E-01 -1.9384E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
  1.1765E-01 -2.1400E-01 -4.8130E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
 -2.8622E-02  2.8883E-01  6.3988E-01
